City,Filing_Method,Marital_Status,Children_or_No_Children_Status,Age_Range,Count_of_Tax_Filers
mpbellton ,Netfile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,220
mpbellton ,Netfile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,370
mpbellton ,Efile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,400
mpbellton ,Netfile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,410
mpbellton ,Paper,Married or Living common-law,No Children Declared,65 and Older,520
mpbellton ,Efile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,530
mpbellton ,Paper,Married or Living common-law,No Children Declared,26 - 64,540
mpbellton ,Netfile,Married or Living common-law,No Children Declared,65 and Older,550
mpbellton ,Netfile,Married or Living common-law,With Children Declared,26 - 64,570
mpbellton ,Paper,"Single, divorced, separated or widowed",No Children Declared,65 and Older,700
mpbellton ,Efile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,730
mpbellton ,Netfile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,830
mpbellton ,Paper,"Single, divorced, separated or widowed",No Children Declared,26 - 64,890
mpbellton ,Netfile,Married or Living common-law,No Children Declared,26 - 64,950
mpbellton ,Efile,Married or Living common-law,No Children Declared,65 and Older,990
mpbellton ,Efile,Married or Living common-law,With Children Declared,26 - 64,1070
mpbellton ,Efile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,1360
mpbellton ,Efile,Married or Living common-law,No Children Declared,26 - 64,1690
mrose ,Paper,Married or Living common-law,With Children Declared,19 - 25,0
mrose ,Paper,Married or Living common-law,With Children Declared,65 and Older,0
mrose ,Paper,"Single, divorced, separated or widowed",With Children Declared,19 - 25,0
mrose ,Paper,"Single, divorced, separated or widowed",With Children Declared,65 and Older,0
mrose ,Paper,Unstated,No Children Declared,19 - 25,0
mrose ,Paper,Unstated,No Children Declared,26 - 64,0
mrose ,Paper,Unstated,No Children Declared,65 and Older,0
mrose ,Paper,Unstated,With Children Declared,19 - 25,0
mrose ,Paper,Unstated,With Children Declared,26 - 64,0
mrose ,Netfile,Married or Living common-law,With Children Declared,65 and Older,0
mrose ,Efile,"Single, divorced, separated or widowed",With Children Declared,18 and Under,0
mrose ,Efile,"Single, divorced, separated or widowed",With Children Declared,65 and Older,0
mrose ,Paper,Married or Living common-law,No Children Declared,19 - 25,10
mrose ,Efile,Married or Living common-law,With Children Declared,65 and Older,10
mrose ,Netfile,Married or Living common-law,With Children Declared,19 - 25,20
mrose ,Netfile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,20
mrose ,Paper,"Single, divorced, separated or widowed",With Children Declared,26 - 64,50
mrose ,Netfile,Married or Living common-law,No Children Declared,19 - 25,50
mrose ,Efile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,60
mrose ,Paper,"Single, divorced, separated or widowed",No Children Declared,18 and Under,80
mrose ,Paper,"Single, divorced, separated or widowed",No Children Declared,19 - 25,90
mrose ,Netfile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,100
mrose ,Efile,Married or Living common-law,With Children Declared,19 - 25,110
mrose ,Paper,Married or Living common-law,With Children Declared,26 - 64,140
mrose ,Netfile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,140
mrose ,Efile,Married or Living common-law,No Children Declared,19 - 25,180
mrose ,Netfile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,200
mrose ,Paper,"Single, divorced, separated or widowed",No Children Declared,65 and Older,210
mrose ,Efile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,260
mrose ,Paper,Married or Living common-law,No Children Declared,26 - 64,280
mrose ,Paper,"Single, divorced, separated or widowed",No Children Declared,26 - 64,280
mrose ,Paper,Married or Living common-law,No Children Declared,65 and Older,300
mrose ,Netfile,Married or Living common-law,No Children Declared,65 and Older,340
mrose ,Netfile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,400
mrose ,Efile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,470
mrose ,Netfile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,630
mrose ,Netfile,Married or Living common-law,No Children Declared,26 - 64,810
mrose ,Efile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,870
mrose ,Netfile,Married or Living common-law,With Children Declared,26 - 64,910
mrose ,Efile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,1270
mrose ,Efile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,1570
mrose ,Efile,Married or Living common-law,No Children Declared,65 and Older,1810
mrose ,Efile,Married or Living common-law,With Children Declared,26 - 64,2060
mrose ,Efile,Married or Living common-law,No Children Declared,26 - 64,2230
nmore ,Paper,Married or Living common-law,No Children Declared,19 - 25,0
nmore ,Paper,Married or Living common-law,With Children Declared,19 - 25,0
nmore ,Paper,Married or Living common-law,With Children Declared,65 and Older,0
nmore ,Paper,Unstated,No Children Declared,19 - 25,0
nmore ,Paper,Unstated,No Children Declared,26 - 64,0
nmore ,Paper,Unstated,No Children Declared,65 and Older,0
nmore ,Netfile,Married or Living common-law,With Children Declared,19 - 25,0
nmore ,Netfile,Married or Living common-law,With Children Declared,65 and Older,0
nmore ,Netfile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,0
nmore ,Efile,Married or Living common-law,No Children Declared,18 and Under,0
nmore ,Efile,Married or Living common-law,With Children Declared,65 and Older,0
nmore ,Efile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,0
nmore ,Paper,"Single, divorced, separated or widowed",With Children Declared,26 - 64,20
nmore ,Efile,Married or Living common-law,With Children Declared,19 - 25,20
nmore ,Netfile,Married or Living common-law,No Children Declared,19 - 25,30
nmore ,Efile,Married or Living common-law,No Children Declared,19 - 25,30
nmore ,Paper,"Single, divorced, separated or widowed",No Children Declared,18 and Under,60
nmore ,Paper,"Single, divorced, separated or widowed",No Children Declared,65 and Older,80
nmore ,Netfile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,90
nmore ,Netfile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,90
nmore ,Netfile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,100
nmore ,Paper,"Single, divorced, separated or widowed",No Children Declared,19 - 25,120
nmore ,Paper,Married or Living common-law,With Children Declared,26 - 64,130
nmore ,Efile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,140
nmore ,Efile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,160
nmore ,Paper,Married or Living common-law,No Children Declared,65 and Older,200
nmore ,Netfile,Married or Living common-law,No Children Declared,65 and Older,240
nmore ,Paper,Married or Living common-law,No Children Declared,26 - 64,310
nmore ,Paper,"Single, divorced, separated or widowed",No Children Declared,26 - 64,320
nmore ,Netfile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,350
nmore ,Efile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,400
nmore ,Efile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,440
nmore ,Efile,Married or Living common-law,No Children Declared,65 and Older,680
nmore ,Netfile,Married or Living common-law,With Children Declared,26 - 64,860
nmore ,Netfile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,860
nmore ,Netfile,Married or Living common-law,No Children Declared,26 - 64,1030
nmore ,Efile,Married or Living common-law,With Children Declared,26 - 64,1190
nmore ,Efile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,1200
nmore ,Efile,Married or Living common-law,No Children Declared,26 - 64,1590
pe Breton ,Paper,"Single, divorced, separated or widowed",With Children Declared,18 and Under,0
pe Breton ,Paper,"Single, divorced, separated or widowed",With Children Declared,65 and Older,0
pe Breton ,Paper,Unstated,No Children Declared,18 and Under,0
pe Breton ,Paper,Unstated,With Children Declared,18 and Under,0
pe Breton ,Paper,Unstated,With Children Declared,19 - 25,0
pe Breton ,Netfile,Married or Living common-law,No Children Declared,18 and Under,0
pe Breton ,Netfile,Married or Living common-law,With Children Declared,18 and Under,0
pe Breton ,Netfile,"Single, divorced, separated or widowed",With Children Declared,18 and Under,0
pe Breton ,Netfile,"Single, divorced, separated or widowed",With Children Declared,65 and Older,0
pe Breton ,Efile,Married or Living common-law,No Children Declared,18 and Under,0
pe Breton ,Paper,Married or Living common-law,No Children Declared,19 - 25,10
pe Breton ,Paper,Unstated,No Children Declared,19 - 25,10
pe Breton ,Efile,"Single, divorced, separated or widowed",With Children Declared,18 and Under,10
pe Breton ,Paper,Married or Living common-law,With Children Declared,19 - 25,20
pe Breton ,Paper,Married or Living common-law,With Children Declared,65 and Older,20
pe Breton ,Paper,Unstated,With Children Declared,26 - 64,20
pe Breton ,Efile,"Single, divorced, separated or widowed",With Children Declared,65 and Older,20
pe Breton ,Netfile,Married or Living common-law,With Children Declared,65 and Older,30
pe Breton ,Netfile,Married or Living common-law,With Children Declared,19 - 25,50
pe Breton ,Efile,Married or Living common-law,With Children Declared,65 and Older,50
pe Breton ,Netfile,Married or Living common-law,No Children Declared,19 - 25,60
pe Breton ,Paper,"Single, divorced, separated or widowed",With Children Declared,19 - 25,100
pe Breton ,Paper,Unstated,No Children Declared,26 - 64,100
pe Breton ,Paper,Unstated,No Children Declared,65 and Older,110
pe Breton ,Efile,Married or Living common-law,No Children Declared,19 - 25,130
pe Breton ,Efile,Married or Living common-law,With Children Declared,19 - 25,130
pe Breton ,Netfile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,180
pe Breton ,Paper,"Single, divorced, separated or widowed",No Children Declared,18 and Under,370
pe Breton ,Netfile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,370
pe Breton ,Efile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,420
pe Breton ,Efile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,700
pe Breton ,Paper,"Single, divorced, separated or widowed",With Children Declared,26 - 64,710
pe Breton ,Paper,"Single, divorced, separated or widowed",No Children Declared,19 - 25,860
pe Breton ,Paper,Married or Living common-law,With Children Declared,26 - 64,900
pe Breton ,Netfile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,1270
pe Breton ,Netfile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,2050
pe Breton ,Netfile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,2290
pe Breton ,Paper,Married or Living common-law,No Children Declared,26 - 64,2570
pe Breton ,Paper,Married or Living common-law,No Children Declared,65 and Older,2780
pe Breton ,Efile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,2790
pe Breton ,Netfile,Married or Living common-law,No Children Declared,65 and Older,2910
pe Breton ,Paper,"Single, divorced, separated or widowed",No Children Declared,65 and Older,2960
pe Breton ,Netfile,Married or Living common-law,With Children Declared,26 - 64,3120
pe Breton ,Efile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,4060
pe Breton ,Paper,"Single, divorced, separated or widowed",No Children Declared,26 - 64,4180
pe Breton ,Efile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,4860
pe Breton ,Netfile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,5030
pe Breton ,Netfile,Married or Living common-law,No Children Declared,26 - 64,5230
pe Breton ,Efile,Married or Living common-law,With Children Declared,26 - 64,5420
pe Breton ,Efile,Married or Living common-law,No Children Declared,65 and Older,6180
pe Breton ,Efile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,7880
pe Breton ,Efile,Married or Living common-law,No Children Declared,26 - 64,8060
Centre Wellington ,Paper,Married or Living common-law,With Children Declared,19 - 25,0
Centre Wellington ,Paper,Married or Living common-law,With Children Declared,65 and Older,0
Centre Wellington ,Paper,"Single, divorced, separated or widowed",With Children Declared,19 - 25,0
Centre Wellington ,Paper,Unstated,No Children Declared,18 and Under,0
Centre Wellington ,Paper,Unstated,No Children Declared,19 - 25,0
Centre Wellington ,Paper,Unstated,No Children Declared,26 - 64,0
Centre Wellington ,Paper,Unstated,No Children Declared,65 and Older,0
Centre Wellington ,Netfile,Married or Living common-law,No Children Declared,18 and Under,0
Centre Wellington ,Netfile,Married or Living common-law,With Children Declared,65 and Older,0
Centre Wellington ,Netfile,"Single, divorced, separated or widowed",With Children Declared,18 and Under,0
Centre Wellington ,Netfile,"Single, divorced, separated or widowed",With Children Declared,65 and Older,0
Centre Wellington ,Efile,"Single, divorced, separated or widowed",With Children Declared,18 and Under,0
Centre Wellington ,Efile,"Single, divorced, separated or widowed",With Children Declared,65 and Older,0
Centre Wellington ,Paper,Married or Living common-law,No Children Declared,19 - 25,10
Centre Wellington ,Netfile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,10
Centre Wellington ,Efile,Married or Living common-law,With Children Declared,65 and Older,10
Centre Wellington ,Netfile,Married or Living common-law,With Children Declared,19 - 25,20
Centre Wellington ,Paper,"Single, divorced, separated or widowed",With Children Declared,26 - 64,30
Centre Wellington ,Efile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,30
Centre Wellington ,Netfile,Married or Living common-law,No Children Declared,19 - 25,40
Centre Wellington ,Efile,Married or Living common-law,With Children Declared,19 - 25,60
Centre Wellington ,Efile,Married or Living common-law,No Children Declared,19 - 25,80
Centre Wellington ,Paper,"Single, divorced, separated or widowed",No Children Declared,18 and Under,90
Centre Wellington ,Paper,"Single, divorced, separated or widowed",No Children Declared,19 - 25,110
Centre Wellington ,Netfile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,150
Centre Wellington ,Netfile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,170
Centre Wellington ,Paper,Married or Living common-law,With Children Declared,26 - 64,180
Centre Wellington ,Paper,"Single, divorced, separated or widowed",No Children Declared,65 and Older,220
Centre Wellington ,Paper,"Single, divorced, separated or widowed",No Children Declared,26 - 64,240
Centre Wellington ,Netfile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,280
Centre Wellington ,Paper,Married or Living common-law,No Children Declared,65 and Older,350
Centre Wellington ,Paper,Married or Living common-law,No Children Declared,26 - 64,390
Centre Wellington ,Efile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,400
Centre Wellington ,Efile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,410
Centre Wellington ,Netfile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,620
Centre Wellington ,Netfile,Married or Living common-law,No Children Declared,65 and Older,690
Centre Wellington ,Netfile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,830
Centre Wellington ,Efile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,1110
Centre Wellington ,Efile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,1310
Centre Wellington ,Efile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,1470
Centre Wellington ,Netfile,Married or Living common-law,No Children Declared,26 - 64,1490
Centre Wellington ,Netfile,Married or Living common-law,With Children Declared,26 - 64,1540
Centre Wellington ,Efile,Married or Living common-law,No Children Declared,65 and Older,2420
Centre Wellington ,Efile,Married or Living common-law,With Children Declared,26 - 64,2760
Centre Wellington ,Efile,Married or Living common-law,No Children Declared,26 - 64,2900
Charlottetown ,Paper,Married or Living common-law,With Children Declared,65 and Older,0
Charlottetown ,Paper,"Single, divorced, separated or widowed",With Children Declared,19 - 25,0
Charlottetown ,Paper,"Single, divorced, separated or widowed",With Children Declared,65 and Older,0
Charlottetown ,Paper,Unstated,No Children Declared,18 and Under,0
Charlottetown ,Paper,Unstated,No Children Declared,19 - 25,0
Charlottetown ,Paper,Unstated,With Children Declared,26 - 64,0
Charlottetown ,Netfile,Married or Living common-law,No Children Declared,18 and Under,0
Charlottetown ,Netfile,Married or Living common-law,With Children Declared,18 and Under,0
Charlottetown ,Netfile,"Single, divorced, separated or widowed",With Children Declared,18 and Under,0
Charlottetown ,Netfile,"Single, divorced, separated or widowed",With Children Declared,65 and Older,0
Charlottetown ,Efile,Married or Living common-law,No Children Declared,18 and Under,0
Charlottetown ,Efile,"Single, divorced, separated or widowed",With Children Declared,18 and Under,0
Charlottetown ,Paper,Married or Living common-law,With Children Declared,19 - 25,10
Charlottetown ,Efile,"Single, divorced, separated or widowed",With Children Declared,65 and Older,10
Charlottetown ,Paper,Married or Living common-law,No Children Declared,19 - 25,20
Charlottetown ,Netfile,Married or Living common-law,With Children Declared,65 and Older,20
Charlottetown ,Efile,Married or Living common-law,With Children Declared,65 and Older,30
Charlottetown ,Paper,Unstated,No Children Declared,26 - 64,40
Charlottetown ,Paper,Unstated,No Children Declared,65 and Older,40
Charlottetown ,Netfile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,70
Charlottetown ,Netfile,Married or Living common-law,With Children Declared,19 - 25,80
Charlottetown ,Efile,Married or Living common-law,With Children Declared,19 - 25,100
Charlottetown ,Netfile,Married or Living common-law,No Children Declared,19 - 25,110
Charlottetown ,Efile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,130
Charlottetown ,Efile,Married or Living common-law,No Children Declared,19 - 25,150
Charlottetown ,Paper,"Single, divorced, separated or widowed",With Children Declared,26 - 64,180
Charlottetown ,Paper,"Single, divorced, separated or widowed",No Children Declared,18 and Under,300
Charlottetown ,Paper,"Single, divorced, separated or widowed",No Children Declared,19 - 25,440
Charlottetown ,Netfile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,520
Charlottetown ,Paper,Married or Living common-law,With Children Declared,26 - 64,680
Charlottetown ,Efile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,690
Charlottetown ,Netfile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,810
Charlottetown ,Paper,"Single, divorced, separated or widowed",No Children Declared,65 and Older,1050
Charlottetown ,Netfile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,1090
Charlottetown ,Paper,Married or Living common-law,No Children Declared,65 and Older,1120
Charlottetown ,Efile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,1150
Charlottetown ,Paper,"Single, divorced, separated or widowed",No Children Declared,26 - 64,1450
Charlottetown ,Paper,Married or Living common-law,No Children Declared,26 - 64,1500
Charlottetown ,Netfile,Married or Living common-law,No Children Declared,65 and Older,1660
Charlottetown ,Netfile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,1980
Charlottetown ,Efile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,2630
Charlottetown ,Efile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,2760
Charlottetown ,Netfile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,3510
Charlottetown ,Netfile,Married or Living common-law,No Children Declared,26 - 64,3930
Charlottetown ,Efile,Married or Living common-law,No Children Declared,65 and Older,3950
Charlottetown ,Efile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,4020
Charlottetown ,Netfile,Married or Living common-law,With Children Declared,26 - 64,4360
Charlottetown ,Efile,Married or Living common-law,With Children Declared,26 - 64,5140
Charlottetown ,Efile,Married or Living common-law,No Children Declared,26 - 64,5570
Chatham-Kent ,Paper,Married or Living common-law,No Children Declared,18 and Under,0
Chatham-Kent ,Paper,Married or Living common-law,With Children Declared,18 and Under,0
Chatham-Kent ,Paper,"Single, divorced, separated or widowed",With Children Declared,18 and Under,0
Chatham-Kent ,Paper,"Single, divorced, separated or widowed",With Children Declared,65 and Older,0
Chatham-Kent ,Paper,Unstated,No Children Declared,18 and Under,0
Chatham-Kent ,Paper,Unstated,No Children Declared,19 - 25,0
Chatham-Kent ,Paper,Unstated,With Children Declared,26 - 64,0
Chatham-Kent ,Netfile,Married or Living common-law,No Children Declared,18 and Under,0
Chatham-Kent ,Netfile,Married or Living common-law,With Children Declared,18 and Under,0
Chatham-Kent ,Netfile,"Single, divorced, separated or widowed",With Children Declared,18 and Under,0
Chatham-Kent ,Netfile,"Single, divorced, separated or widowed",With Children Declared,65 and Older,0
Chatham-Kent ,Efile,Married or Living common-law,No Children Declared,18 and Under,0
Chatham-Kent ,Efile,Married or Living common-law,With Children Declared,18 and Under,0
Chatham-Kent ,Paper,Married or Living common-law,With Children Declared,65 and Older,10
Chatham-Kent ,Paper,Unstated,No Children Declared,65 and Older,10
Chatham-Kent ,Efile,"Single, divorced, separated or widowed",With Children Declared,18 and Under,10
Chatham-Kent ,Paper,Unstated,No Children Declared,26 - 64,20
Chatham-Kent ,Netfile,Married or Living common-law,With Children Declared,65 and Older,20
Chatham-Kent ,Efile,"Single, divorced, separated or widowed",With Children Declared,65 and Older,20
Chatham-Kent ,Paper,Married or Living common-law,No Children Declared,19 - 25,30
Chatham-Kent ,Paper,"Single, divorced, separated or widowed",With Children Declared,19 - 25,30
Chatham-Kent ,Paper,Married or Living common-law,With Children Declared,19 - 25,40
Chatham-Kent ,Efile,Married or Living common-law,With Children Declared,65 and Older,60
Chatham-Kent ,Netfile,Married or Living common-law,With Children Declared,19 - 25,130
Chatham-Kent ,Netfile,Married or Living common-law,No Children Declared,19 - 25,160
Chatham-Kent ,Netfile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,170
Chatham-Kent ,Paper,"Single, divorced, separated or widowed",With Children Declared,26 - 64,200
Chatham-Kent ,Efile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,270
Chatham-Kent ,Paper,"Single, divorced, separated or widowed",No Children Declared,18 and Under,300
Chatham-Kent ,Efile,Married or Living common-law,With Children Declared,19 - 25,340
Chatham-Kent ,Efile,Married or Living common-law,No Children Declared,19 - 25,360
Chatham-Kent ,Netfile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,420
Chatham-Kent ,Paper,"Single, divorced, separated or widowed",No Children Declared,19 - 25,470
Chatham-Kent ,Paper,Married or Living common-law,With Children Declared,26 - 64,770
Chatham-Kent ,Netfile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,990
Chatham-Kent ,Paper,"Single, divorced, separated or widowed",No Children Declared,65 and Older,1160
Chatham-Kent ,Netfile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,1260
Chatham-Kent ,Paper,Married or Living common-law,No Children Declared,65 and Older,1330
Chatham-Kent ,Paper,Married or Living common-law,No Children Declared,26 - 64,1540
Chatham-Kent ,Efile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,1560
Chatham-Kent ,Paper,"Single, divorced, separated or widowed",No Children Declared,26 - 64,1660
Chatham-Kent ,Netfile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,1870
Chatham-Kent ,Efile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,2140
Chatham-Kent ,Netfile,Married or Living common-law,No Children Declared,65 and Older,2240
Chatham-Kent ,Netfile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,3550
Chatham-Kent ,Efile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,4020
Chatham-Kent ,Netfile,Married or Living common-law,With Children Declared,26 - 64,4180
Chatham-Kent ,Netfile,Married or Living common-law,No Children Declared,26 - 64,4550
Chatham-Kent ,Efile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,5800
Chatham-Kent ,Efile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,7380
Chatham-Kent ,Efile,Married or Living common-law,With Children Declared,26 - 64,8930
Chatham-Kent ,Efile,Married or Living common-law,No Children Declared,65 and Older,9090
Chatham-Kent ,Efile,Married or Living common-law,No Children Declared,26 - 64,11320
Chilliwack ,Paper,Married or Living common-law,With Children Declared,65 and Older,0
Chilliwack ,Paper,"Single, divorced, separated or widowed",With Children Declared,65 and Older,0
Chilliwack ,Paper,Unstated,No Children Declared,18 and Under,0
Chilliwack ,Paper,Unstated,No Children Declared,19 - 25,0
Chilliwack ,Paper,Unstated,With Children Declared,19 - 25,0
Chilliwack ,Paper,Unstated,With Children Declared,26 - 64,0
Chilliwack ,Netfile,Married or Living common-law,No Children Declared,18 and Under,0
Chilliwack ,Netfile,Married or Living common-law,With Children Declared,18 and Under,0
Chilliwack ,Netfile,"Single, divorced, separated or widowed",With Children Declared,18 and Under,0
Chilliwack ,Netfile,"Single, divorced, separated or widowed",With Children Declared,65 and Older,0
Chilliwack ,Efile,Married or Living common-law,No Children Declared,18 and Under,0
Chilliwack ,Efile,Married or Living common-law,With Children Declared,18 and Under,0
Chilliwack ,Efile,"Single, divorced, separated or widowed",With Children Declared,18 and Under,0
Chilliwack ,Paper,"Single, divorced, separated or widowed",With Children Declared,19 - 25,20
Chilliwack ,Efile,"Single, divorced, separated or widowed",With Children Declared,65 and Older,20
Chilliwack ,Paper,Married or Living common-law,With Children Declared,19 - 25,30
Chilliwack ,Paper,Unstated,No Children Declared,26 - 64,30
Chilliwack ,Netfile,Married or Living common-law,With Children Declared,65 and Older,30
Chilliwack ,Paper,Married or Living common-law,No Children Declared,19 - 25,60
Chilliwack ,Paper,Unstated,No Children Declared,65 and Older,60
Chilliwack ,Efile,Married or Living common-law,With Children Declared,65 and Older,70
Chilliwack ,Netfile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,130
Chilliwack ,Netfile,Married or Living common-law,With Children Declared,19 - 25,150
Chilliwack ,Efile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,190
Chilliwack ,Paper,"Single, divorced, separated or widowed",With Children Declared,26 - 64,260
Chilliwack ,Netfile,Married or Living common-law,No Children Declared,19 - 25,300
Chilliwack ,Efile,Married or Living common-law,With Children Declared,19 - 25,300
Chilliwack ,Paper,"Single, divorced, separated or widowed",No Children Declared,18 and Under,400
Chilliwack ,Efile,Married or Living common-law,No Children Declared,19 - 25,430
Chilliwack ,Paper,"Single, divorced, separated or widowed",No Children Declared,19 - 25,570
Chilliwack ,Netfile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,570
Chilliwack ,Paper,Married or Living common-law,With Children Declared,26 - 64,960
Chilliwack ,Efile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,1020
Chilliwack ,Netfile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,1080
Chilliwack ,Paper,"Single, divorced, separated or widowed",No Children Declared,65 and Older,1220
Chilliwack ,Netfile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,1220
Chilliwack ,Paper,Married or Living common-law,No Children Declared,65 and Older,1660
Chilliwack ,Paper,"Single, divorced, separated or widowed",No Children Declared,26 - 64,1680
Chilliwack ,Efile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,1790
Chilliwack ,Paper,Married or Living common-law,No Children Declared,26 - 64,1820
Chilliwack ,Netfile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,2260
Chilliwack ,Netfile,Married or Living common-law,No Children Declared,65 and Older,2690
Chilliwack ,Efile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,3050
Chilliwack ,Netfile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,3470
Chilliwack ,Netfile,Married or Living common-law,No Children Declared,26 - 64,4540
Chilliwack ,Efile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,4650
Chilliwack ,Netfile,Married or Living common-law,With Children Declared,26 - 64,5010
Chilliwack ,Efile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,5890
Chilliwack ,Efile,Married or Living common-law,No Children Declared,65 and Older,7740
Chilliwack ,Efile,Married or Living common-law,With Children Declared,26 - 64,8070
Chilliwack ,Efile,Married or Living common-law,No Children Declared,26 - 64,8170
Cobourg ,Paper,Married or Living common-law,With Children Declared,65 and Older,0
Cobourg ,Paper,"Single, divorced, separated or widowed",With Children Declared,19 - 25,0
Cobourg ,Paper,"Single, divorced, separated or widowed",With Children Declared,65 and Older,0
Cobourg ,Paper,Unstated,No Children Declared,26 - 64,0
Cobourg ,Paper,Unstated,No Children Declared,65 and Older,0
Cobourg ,Paper,Unstated,With Children Declared,65 and Older,0
Cobourg ,Netfile,Married or Living common-law,No Children Declared,18 and Under,0
Cobourg ,Netfile,Married or Living common-law,With Children Declared,65 and Older,0
Cobourg ,Netfile,"Single, divorced, separated or widowed",With Children Declared,65 and Older,0
Cobourg ,Efile,Married or Living common-law,No Children Declared,18 and Under,0
Cobourg ,Efile,Married or Living common-law,With Children Declared,65 and Older,0
Cobourg ,Efile,"Single, divorced, separated or widowed",With Children Declared,18 and Under,0
