CMA_or_CA,Filing_Method,Major_Source_of_Income,Total_Income_Range,Complexity,Count_of_Taxfilers
Calgary CMA,Netfile,Other,"$100,000 and Above",Simple,510
Calgary CMA,Paper,Pension,"$100,000 and Above",Complex,500
Calgary CMA,Paper,Self-employment,"$100,000 and Above",Complex,450
Calgary CMA,Paper,Other,"$100,000 and Above",Complex,410
Calgary CMA,Paper,Other,"Between $50,000 and $99,999",Complex,390
Calgary CMA,Efile,Pension,"$100,000 and Above",Simple,340
Calgary CMA,Paper,Other,"Between $50,000 and $99,999",Simple,300
Calgary CMA,Netfile,Pension,"$100,000 and Above",Simple,260
Calgary CMA,Efile,No income,"Less than $25,000",Complex,160
Calgary CMA,Paper,No income,"Less than $25,000",Complex,150
Calgary CMA,Paper,Other,"$100,000 and Above",Simple,140
Calgary CMA,Netfile,No income,"Less than $25,000",Complex,110
Calgary CMA,Efile,Investment,"Between $25,000 and $49,999",Simple,110
Calgary CMA,Paper,Pension,"$100,000 and Above",Simple,100
Calgary CMA,Paper,Self-employment,"Less than $25,000",Simple,60
Calgary CMA,Netfile,Investment,"Between $25,000 and $49,999",Simple,60
Calgary CMA,Efile,Investment,"Between $50,000 and $99,999",Simple,60
Calgary CMA,Efile,Self-employment,"Between $25,000 and $49,999",Simple,60
Calgary CMA,Paper,Investment,"Between $25,000 and $49,999",Simple,50
Calgary CMA,Efile,Investment,"$100,000 and Above",Simple,40
Calgary CMA,Efile,Self-employment,"Less than $25,000",Simple,40
Calgary CMA,Paper,Investment,"Between $50,000 and $99,999",Simple,20
Calgary CMA,Paper,Self-employment,"Between $25,000 and $49,999",Simple,20
Calgary CMA,Netfile,Investment,"Between $50,000 and $99,999",Simple,20
Calgary CMA,Netfile,Self-employment,"Less than $25,000",Simple,20
Calgary CMA,Efile,Self-employment,"Between $50,000 and $99,999",Simple,20
Calgary CMA,Paper,Investment,"$100,000 and Above",Simple,10
Calgary CMA,Paper,Self-employment,"$100,000 and Above",Simple,10
Calgary CMA,Netfile,Multiple sources of income,"Less than $25,000",Simple,10
Calgary CMA,Efile,Self-employment,"$100,000 and Above",Simple,10
Calgary CMA,Paper,Multiple sources of income,"Less than $25,000",Complex,0
Calgary CMA,Paper,Multiple sources of income,"Less than $25,000",Simple,0
Calgary CMA,Paper,Multiple sources of income,"Between $25,000 and $49,999",Complex,0
Calgary CMA,Paper,Multiple sources of income,"$100,000 and Above",Complex,0
Calgary CMA,Paper,Self-employment,"Between $50,000 and $99,999",Simple,0
Calgary CMA,Netfile,Investment,"$100,000 and Above",Simple,0
Calgary CMA,Netfile,Multiple sources of income,"Less than $25,000",Complex,0
Calgary CMA,Netfile,Multiple sources of income,"Between $25,000 and $49,999",Complex,0
Calgary CMA,Netfile,Multiple sources of income,"Between $25,000 and $49,999",Simple,0
Calgary CMA,Netfile,Multiple sources of income,"Between $50,000 and $99,999",Complex,0
Calgary CMA,Netfile,Multiple sources of income,"$100,000 and Above",Complex,0
Calgary CMA,Netfile,Self-employment,"Between $50,000 and $99,999",Simple,0
Calgary CMA,Netfile,Self-employment,"$100,000 and Above",Simple,0
Calgary CMA,Efile,Multiple sources of income,"Less than $25,000",Complex,0
Calgary CMA,Efile,Multiple sources of income,"Less than $25,000",Simple,0
Calgary CMA,Efile,Multiple sources of income,"Between $25,000 and $49,999",Complex,0
Calgary CMA,Efile,Multiple sources of income,"Between $50,000 and $99,999",Complex,0
Calgary CMA,Efile,Multiple sources of income,"$100,000 and Above",Simple,0
Campbell River CA,Efile,Employment,"Between $25,000 and $49,999",Simple,"1,990"
Campbell River CA,Efile,Employment,"Between $50,000 and $99,999",Simple,"1,960"
Campbell River CA,Efile,Employment,"Less than $25,000",Simple,"1,920"
Campbell River CA,Efile,Pension,"Less than $25,000",Simple,"1,700"
Campbell River CA,Efile,Other,"Less than $25,000",Simple,"1,370"
Campbell River CA,Netfile,Employment,"Between $50,000 and $99,999",Simple,"1,290"
Campbell River CA,Efile,Pension,"Between $25,000 and $49,999",Simple,"1,250"
Campbell River CA,Netfile,Employment,"Between $25,000 and $49,999",Simple,"1,230"
Campbell River CA,Netfile,Employment,"Less than $25,000",Simple,"1,100"
Campbell River CA,Efile,Pension,"Between $25,000 and $49,999",Complex,930
Campbell River CA,Efile,Employment,"Between $50,000 and $99,999",Complex,830
Campbell River CA,Efile,Employment,"$100,000 and Above",Simple,660
Campbell River CA,Netfile,Other,"Less than $25,000",Simple,640
Campbell River CA,Netfile,Pension,"Less than $25,000",Simple,640
Campbell River CA,Efile,Pension,"Less than $25,000",Complex,600
Campbell River CA,Efile,Pension,"Between $50,000 and $99,999",Complex,550
Campbell River CA,Efile,Employment,"Between $25,000 and $49,999",Complex,540
Campbell River CA,Netfile,Pension,"Between $25,000 and $49,999",Simple,510
Campbell River CA,Efile,Employment,"$100,000 and Above",Complex,470
Campbell River CA,Efile,Investment,"Between $50,000 and $99,999",Complex,410
Campbell River CA,Paper,Pension,"Less than $25,000",Simple,390
Campbell River CA,Efile,Self-employment,"Less than $25,000",Complex,380
Campbell River CA,Netfile,Employment,"$100,000 and Above",Simple,330
Campbell River CA,Efile,Pension,"Between $50,000 and $99,999",Simple,310
Campbell River CA,Efile,Investment,"$100,000 and Above",Complex,300
Campbell River CA,Netfile,Employment,"Between $50,000 and $99,999",Complex,280
Campbell River CA,Paper,Employment,"Less than $25,000",Simple,270
Campbell River CA,Paper,Other,"Less than $25,000",Simple,270
Campbell River CA,Efile,Investment,"Between $25,000 and $49,999",Complex,250
Campbell River CA,Paper,Employment,"Between $25,000 and $49,999",Simple,240
Campbell River CA,Efile,No income,"Less than $25,000",Simple,240
Campbell River CA,Efile,Employment,"Less than $25,000",Complex,240
Campbell River CA,Efile,Self-employment,"Between $25,000 and $49,999",Complex,230
Campbell River CA,Paper,Pension,"Between $25,000 and $49,999",Simple,220
Campbell River CA,Netfile,Pension,"Between $25,000 and $49,999",Complex,220
Campbell River CA,Efile,Other,"Between $25,000 and $49,999",Simple,220
Campbell River CA,Netfile,Employment,"Between $25,000 and $49,999",Complex,210
Campbell River CA,Netfile,Pension,"Between $50,000 and $99,999",Simple,190
Campbell River CA,Efile,Other,"Less than $25,000",Complex,190
Campbell River CA,Paper,Employment,"Between $50,000 and $99,999",Simple,170
Campbell River CA,Efile,Self-employment,"Between $50,000 and $99,999",Complex,160
Campbell River CA,Netfile,No income,"Less than $25,000",Simple,140
Campbell River CA,Paper,Pension,"Less than $25,000",Complex,130
Campbell River CA,Netfile,Employment,"$100,000 and Above",Complex,130
Campbell River CA,Netfile,Pension,"Less than $25,000",Complex,130
Campbell River CA,Netfile,Pension,"Between $50,000 and $99,999",Complex,120
Campbell River CA,Efile,Investment,"Less than $25,000",Complex,120
Campbell River CA,Paper,No income,"Less than $25,000",Simple,110
Campbell River CA,Efile,Other,"Between $25,000 and $49,999",Complex,110
Campbell River CA,Netfile,Other,"Between $25,000 and $49,999",Simple,100
Campbell River CA,Netfile,Self-employment,"Less than $25,000",Complex,100
Campbell River CA,Paper,Pension,"Between $25,000 and $49,999",Complex,90
Campbell River CA,Netfile,Employment,"Less than $25,000",Complex,90
Campbell River CA,Efile,Other,"Between $50,000 and $99,999",Simple,90
Campbell River CA,Efile,Other,"Between $50,000 and $99,999",Complex,70
Campbell River CA,Netfile,Other,"Less than $25,000",Complex,60
Campbell River CA,Netfile,Self-employment,"Between $25,000 and $49,999",Complex,60
Campbell River CA,Efile,Self-employment,"$100,000 and Above",Complex,60
Campbell River CA,Paper,Employment,"Less than $25,000",Complex,50
Campbell River CA,Paper,Employment,"Between $25,000 and $49,999",Complex,50
Campbell River CA,Paper,Employment,"Between $50,000 and $99,999",Complex,50
Campbell River CA,Paper,Employment,"$100,000 and Above",Simple,50
Campbell River CA,Paper,Pension,"Between $50,000 and $99,999",Simple,50
Campbell River CA,Netfile,Investment,"Between $50,000 and $99,999",Complex,50
Campbell River CA,Efile,Pension,"$100,000 and Above",Complex,50
Campbell River CA,Paper,Other,"Less than $25,000",Complex,40
Campbell River CA,Paper,Pension,"Between $50,000 and $99,999",Complex,40
Campbell River CA,Paper,Self-employment,"Less than $25,000",Complex,40
Campbell River CA,Netfile,Other,"Between $50,000 and $99,999",Simple,40
Campbell River CA,Paper,Employment,"$100,000 and Above",Complex,30
Campbell River CA,Paper,Other,"Between $25,000 and $49,999",Simple,30
Campbell River CA,Paper,Self-employment,"Between $25,000 and $49,999",Complex,30
Campbell River CA,Netfile,Investment,"Less than $25,000",Complex,30
Campbell River CA,Netfile,Investment,"Between $25,000 and $49,999",Complex,30
Campbell River CA,Netfile,Other,"Between $25,000 and $49,999",Complex,30
Campbell River CA,Netfile,Self-employment,"Between $50,000 and $99,999",Complex,30
Campbell River CA,Efile,Investment,"Less than $25,000",Simple,30
Campbell River CA,Efile,Other,"$100,000 and Above",Complex,30
Campbell River CA,Paper,Investment,"Between $25,000 and $49,999",Complex,20
Campbell River CA,Paper,Investment,"Between $50,000 and $99,999",Complex,20
Campbell River CA,Netfile,Investment,"Less than $25,000",Simple,20
Campbell River CA,Netfile,Investment,"$100,000 and Above",Complex,20
Campbell River CA,Netfile,Other,"Between $50,000 and $99,999",Complex,20
Campbell River CA,Netfile,Pension,"$100,000 and Above",Complex,20
Campbell River CA,Paper,Investment,"Less than $25,000",Complex,10
Campbell River CA,Paper,Investment,"$100,000 and Above",Complex,10
Campbell River CA,Paper,Other,"Between $25,000 and $49,999",Complex,10
Campbell River CA,Paper,Other,"Between $50,000 and $99,999",Simple,10
Campbell River CA,Netfile,Other,"$100,000 and Above",Simple,10
Campbell River CA,Efile,No income,"Less than $25,000",Complex,10
Campbell River CA,Efile,Other,"$100,000 and Above",Simple,10
Campbell River CA,Efile,Pension,"$100,000 and Above",Simple,10
Campbell River CA,Paper,No income,"Less than $25,000",Complex,0
Campbell River CA,Paper,Investment,"Less than $25,000",Simple,0
Campbell River CA,Paper,Other,"Between $50,000 and $99,999",Complex,0
Campbell River CA,Paper,Other,"$100,000 and Above",Complex,0
Campbell River CA,Paper,Other,"$100,000 and Above",Simple,0
Campbell River CA,Paper,Pension,"$100,000 and Above",Complex,0
Campbell River CA,Paper,Pension,"$100,000 and Above",Simple,0
Campbell River CA,Paper,Self-employment,"Between $50,000 and $99,999",Complex,0
Campbell River CA,Paper,Self-employment,"$100,000 and Above",Complex,0
Campbell River CA,Netfile,No income,"Less than $25,000",Complex,0
Campbell River CA,Netfile,Investment,"Between $25,000 and $49,999",Simple,0
Campbell River CA,Netfile,Investment,"Between $50,000 and $99,999",Simple,0
Campbell River CA,Netfile,Multiple sources of income,"Less than $25,000",Complex,0
Campbell River CA,Netfile,Multiple sources of income,"Between $25,000 and $49,999",Simple,0
Campbell River CA,Netfile,Other,"$100,000 and Above",Complex,0
Campbell River CA,Netfile,Pension,"$100,000 and Above",Simple,0
Campbell River CA,Netfile,Self-employment,"$100,000 and Above",Complex,0
Campbell River CA,Efile,Investment,"Between $25,000 and $49,999",Simple,0
Campbell River CA,Efile,Investment,"$100,000 and Above",Simple,0
Campbell River CA,Efile,Multiple sources of income,"Less than $25,000",Simple,0
Campbell River CA,Efile,Multiple sources of income,"Between $25,000 and $49,999",Complex,0
Campbell River CA,Efile,Self-employment,"Less than $25,000",Simple,0
Campbellton CA,Efile,Employment,"Between $25,000 and $49,999",Simple,"1,280"
Campbellton CA,Efile,Employment,"Less than $25,000",Simple,970
Campbellton CA,Efile,Pension,"Less than $25,000",Simple,870
Campbellton CA,Netfile,Employment,"Between $25,000 and $49,999",Simple,830
Campbellton CA,Paper,Other,"Less than $25,000",Simple,820
Campbellton CA,Efile,Employment,"Between $50,000 and $99,999",Simple,760
Campbellton CA,Paper,Pension,"Less than $25,000",Simple,740
Campbellton CA,Efile,Other,"Less than $25,000",Simple,710
Campbellton CA,Netfile,Pension,"Less than $25,000",Simple,620
Campbellton CA,Netfile,Other,"Less than $25,000",Simple,550
Campbellton CA,Efile,Pension,"Between $25,000 and $49,999",Simple,530
Campbellton CA,Netfile,Employment,"Between $50,000 and $99,999",Simple,510
Campbellton CA,Netfile,Employment,"Less than $25,000",Simple,470
Campbellton CA,Paper,No income,"Less than $25,000",Simple,330
Campbellton CA,Paper,Employment,"Between $25,000 and $49,999",Simple,290
Campbellton CA,Netfile,Pension,"Between $25,000 and $49,999",Simple,290
Campbellton CA,Paper,Pension,"Between $25,000 and $49,999",Simple,250
Campbellton CA,Paper,Employment,"Less than $25,000",Simple,240
Campbellton CA,Efile,Employment,"Between $50,000 and $99,999",Complex,210
Campbellton CA,Netfile,No income,"Less than $25,000",Simple,190
Campbellton CA,Efile,Other,"Between $25,000 and $49,999",Simple,190
Campbellton CA,Efile,Employment,"Between $25,000 and $49,999",Complex,170
Campbellton CA,Paper,Employment,"Between $50,000 and $99,999",Simple,160
Campbellton CA,Efile,Pension,"Between $25,000 and $49,999",Complex,150
Campbellton CA,Efile,Pension,"Less than $25,000",Complex,140
Campbellton CA,Efile,Self-employment,"Less than $25,000",Complex,140
Campbellton CA,Efile,Pension,"Between $50,000 and $99,999",Simple,130
Campbellton CA,Efile,No income,"Less than $25,000",Simple,120
Campbellton CA,Netfile,Other,"Between $25,000 and $49,999",Simple,110
Campbellton CA,Efile,Employment,"$100,000 and Above",Simple,100
Campbellton CA,Efile,Pension,"Between $50,000 and $99,999",Complex,90
Campbellton CA,Paper,Pension,"Less than $25,000",Complex,80
Campbellton CA,Netfile,Pension,"Between $50,000 and $99,999",Simple,80
Campbellton CA,Efile,Employment,"$100,000 and Above",Complex,80
Campbellton CA,Netfile,Employment,"Between $50,000 and $99,999",Complex,70
Campbellton CA,Netfile,Employment,"Between $25,000 and $49,999",Complex,60
Campbellton CA,Efile,Employment,"Less than $25,000",Complex,60
Campbellton CA,Efile,Self-employment,"Between $25,000 and $49,999",Complex,60
Campbellton CA,Paper,Pension,"Between $25,000 and $49,999",Complex,50
Campbellton CA,Paper,Pension,"Between $50,000 and $99,999",Simple,50
Campbellton CA,Netfile,Employment,"$100,000 and Above",Simple,50
Campbellton CA,Netfile,Pension,"Between $25,000 and $49,999",Complex,50
Campbellton CA,Efile,Investment,"Between $50,000 and $99,999",Complex,50
Campbellton CA,Efile,Investment,"$100,000 and Above",Complex,50
Campbellton CA,Efile,Other,"Less than $25,000",Complex,50
Campbellton CA,Paper,Employment,"Less than $25,000",Complex,40
Campbellton CA,Paper,Other,"Less than $25,000",Complex,40
Campbellton CA,Paper,Other,"Between $25,000 and $49,999",Simple,40
Campbellton CA,Paper,Employment,"Between $25,000 and $49,999",Complex,30
Campbellton CA,Paper,Employment,"Between $50,000 and $99,999",Complex,30
Campbellton CA,Netfile,Pension,"Less than $25,000",Complex,30
Campbellton CA,Netfile,Pension,"Between $50,000 and $99,999",Complex,30
Campbellton CA,Efile,Investment,"Less than $25,000",Complex,30
Campbellton CA,Efile,Investment,"Between $25,000 and $49,999",Complex,30
Campbellton CA,Efile,Other,"Between $25,000 and $49,999",Complex,30
Campbellton CA,Efile,Self-employment,"Between $50,000 and $99,999",Complex,30
Campbellton CA,Paper,Employment,"$100,000 and Above",Simple,20
Campbellton CA,Paper,Investment,"Less than $25,000",Simple,20
Campbellton CA,Paper,Pension,"Between $50,000 and $99,999",Complex,20
Campbellton CA,Paper,Self-employment,"Less than $25,000",Complex,20
Campbellton CA,Netfile,Employment,"Less than $25,000",Complex,20
Campbellton CA,Netfile,Employment,"$100,000 and Above",Complex,20
Campbellton CA,Netfile,Other,"Less than $25,000",Complex,20
Campbellton CA,Netfile,Self-employment,"Less than $25,000",Complex,20
Campbellton CA,Efile,Other,"Between $50,000 and $99,999",Simple,20
Campbellton CA,Efile,Pension,"$100,000 and Above",Simple,10
Campbellton CA,Efile,Self-employment,"$100,000 and Above",Complex,10
Campbellton CA,Paper,No income,"Less than $25,000",Complex,0
Campbellton CA,Paper,Employment,"$100,000 and Above",Complex,0
Campbellton CA,Paper,Investment,"Less than $25,000",Complex,0
Campbellton CA,Paper,Investment,"Between $25,000 and $49,999",Complex,0
Campbellton CA,Paper,Investment,"Between $25,000 and $49,999",Simple,0
Campbellton CA,Paper,Investment,"Between $50,000 and $99,999",Complex,0
Campbellton CA,Paper,Investment,"$100,000 and Above",Complex,0
Campbellton CA,Paper,Multiple sources of income,"Less than $25,000",Complex,0
Campbellton CA,Paper,Other,"Between $25,000 and $49,999",Complex,0
Campbellton CA,Paper,Other,"Between $50,000 and $99,999",Complex,0
Campbellton CA,Paper,Other,"Between $50,000 and $99,999",Simple,0
Campbellton CA,Paper,Other,"$100,000 and Above",Complex,0
Campbellton CA,Paper,Pension,"$100,000 and Above",Complex,0
Campbellton CA,Paper,Pension,"$100,000 and Above",Simple,0
Campbellton CA,Paper,Self-employment,"Between $25,000 and $49,999",Complex,0
Campbellton CA,Paper,Self-employment,"Between $50,000 and $99,999",Complex,0
Campbellton CA,Paper,Self-employment,"$100,000 and Above",Complex,0
Campbellton CA,Netfile,No income,"Less than $25,000",Complex,0
Campbellton CA,Netfile,Investment,"Less than $25,000",Complex,0
Campbellton CA,Netfile,Investment,"Less than $25,000",Simple,0
Campbellton CA,Netfile,Investment,"Between $25,000 and $49,999",Complex,0
Campbellton CA,Netfile,Investment,"$100,000 and Above",Complex,0
Campbellton CA,Netfile,Other,"Between $25,000 and $49,999",Complex,0
Campbellton CA,Netfile,Other,"Between $50,000 and $99,999",Complex,0
Campbellton CA,Netfile,Other,"Between $50,000 and $99,999",Simple,0
Campbellton CA,Netfile,Other,"$100,000 and Above",Complex,0
Campbellton CA,Netfile,Other,"$100,000 and Above",Simple,0
Campbellton CA,Netfile,Pension,"$100,000 and Above",Simple,0
Campbellton CA,Netfile,Self-employment,"Between $25,000 and $49,999",Complex,0
Campbellton CA,Efile,No income,"Less than $25,000",Complex,0
Campbellton CA,Efile,Investment,"Less than $25,000",Simple,0
Campbellton CA,Efile,Other,"Between $50,000 and $99,999",Complex,0
Campbellton CA,Efile,Other,"$100,000 and Above",Complex,0
Campbellton CA,Efile,Other,"$100,000 and Above",Simple,0
Campbellton CA,Efile,Pension,"$100,000 and Above",Complex,0
Campbellton CA,Efile,Self-employment,"Less than $25,000",Simple,0
Camrose CA,Efile,Employment,"Between $50,000 and $99,999",Simple,"1,500"
Camrose CA,Efile,Employment,"Between $25,000 and $49,999",Simple,"1,250"
Camrose CA,Efile,Employment,"Less than $25,000",Simple,"1,050"
Camrose CA,Netfile,Employment,"Between $50,000 and $99,999",Simple,780
Camrose CA,Efile,Pension,"Less than $25,000",Simple,730
Camrose CA,Efile,Employment,"Between $50,000 and $99,999",Complex,630
Camrose CA,Netfile,Employment,"Between $25,000 and $49,999",Simple,580
Camrose CA,Efile,Other,"Less than $25,000",Simple,570
Camrose CA,Efile,Pension,"Between $25,000 and $49,999",Simple,570
Camrose CA,Efile,Pension,"Between $25,000 and $49,999",Complex,540
Camrose CA,Efile,Employment,"$100,000 and Above",Simple,490
Camrose CA,Netfile,Employment,"Less than $25,000",Simple,450
Camrose CA,Efile,Employment,"$100,000 and Above",Complex,420
Camrose CA,Efile,Employment,"Between $25,000 and $49,999",Complex,340
Camrose CA,Efile,Pension,"Less than $25,000",Complex,340
Camrose CA,Efile,Self-employment,"Less than $25,000",Complex,300
Camrose CA,Efile,Pension,"Between $50,000 and $99,999",Complex,280
Camrose CA,Netfile,Employment,"$100,000 and Above",Simple,270
Camrose CA,Efile,Investment,"$100,000 and Above",Complex,270
Camrose CA,Efile,Investment,"Between $50,000 and $99,999",Complex,250
Camrose CA,Netfile,Other,"Less than $25,000",Simple,210
Camrose CA,Netfile,Employment,"Between $50,000 and $99,999",Complex,200
Camrose CA,Paper,Employment,"Less than $25,000",Simple,170
Camrose CA,Netfile,Pension,"Less than $25,000",Simple,170
Camrose CA,Efile,Investment,"Between $25,000 and $49,999",Complex,170
Camrose CA,Paper,Employment,"Between $50,000 and $99,999",Simple,160
Camrose CA,Paper,Pension,"Less than $25,000",Simple,160
Camrose CA,Efile,Employment,"Less than $25,000",Complex,160
Camrose CA,Efile,Other,"Between $25,000 and $49,999",Simple,160
Camrose CA,Paper,Employment,"Between $25,000 and $49,999",Simple,150
Camrose CA,Efile,Pension,"Between $50,000 and $99,999",Simple,150
Camrose CA,Netfile,Pension,"Between $25,000 and $49,999",Simple,140
Camrose CA,Netfile,Employment,"$100,000 and Above",Complex,120
Camrose CA,Efile,Self-employment,"Between $25,000 and $49,999",Complex,120
Camrose CA,Paper,Pension,"Between $25,000 and $49,999",Simple,110
Camrose CA,Efile,Other,"Less than $25,000",Complex,110
Camrose CA,Paper,Other,"Less than $25,000",Simple,100
Camrose CA,Efile,Self-employment,"Between $50,000 and $99,999",Complex,100
Camrose CA,Netfile,Employment,"Between $25,000 and $49,999",Complex,90
Camrose CA,Netfile,Pension,"Between $25,000 and $49,999",Complex,90
Camrose CA,Efile,No income,"Less than $25,000",Simple,80
Camrose CA,Efile,Other,"Between $25,000 and $49,999",Complex,80
Camrose CA,Paper,Employment,"Between $50,000 and $99,999",Complex,70
Camrose CA,Paper,Pension,"Less than $25,000",Complex,70
Camrose CA,Netfile,Pension,"Between $50,000 and $99,999",Complex,70
Camrose CA,Efile,Investment,"Less than $25,000",Complex,70
Camrose CA,Paper,Pension,"Between $25,000 and $49,999",Complex,60
Camrose CA,Paper,Employment,"$100,000 and Above",Complex,50
Camrose CA,Paper,Employment,"$100,000 and Above",Simple,50
Camrose CA,Netfile,Other,"Between $25,000 and $49,999",Simple,50
Camrose CA,Netfile,Pension,"Less than $25,000",Complex,50
Camrose CA,Netfile,Pension,"Between $50,000 and $99,999",Simple,50
Camrose CA,Efile,Self-employment,"$100,000 and Above",Complex,50
Camrose CA,Paper,No income,"Less than $25,000",Simple,40
Camrose CA,Paper,Pension,"Between $50,000 and $99,999",Complex,40
Camrose CA,Netfile,No income,"Less than $25,000",Simple,40
Camrose CA,Netfile,Employment,"Less than $25,000",Complex,40
Camrose CA,Netfile,Self-employment,"Less than $25,000",Complex,40
Camrose CA,Paper,Employment,"Between $25,000 and $49,999",Complex,30
Camrose CA,Paper,Pension,"Between $50,000 and $99,999",Simple,30
Camrose CA,Paper,Self-employment,"Less than $25,000",Complex,30
Camrose CA,Netfile,Other,"Less than $25,000",Complex,30
Camrose CA,Efile,Other,"$100,000 and Above",Complex,30
Camrose CA,Efile,Pension,"$100,000 and Above",Complex,30
Camrose CA,Paper,Employment,"Less than $25,000",Complex,20
Camrose CA,Paper,Investment,"Between $50,000 and $99,999",Complex,20
Camrose CA,Paper,Other,"Less than $25,000",Complex,20
Camrose CA,Paper,Other,"Between $25,000 and $49,999",Simple,20
Camrose CA,Netfile,Self-employment,"Between $25,000 and $49,999",Complex,20
Camrose CA,Efile,Other,"Between $50,000 and $99,999",Complex,20
Camrose CA,Efile,Other,"Between $50,000 and $99,999",Simple,20
Camrose CA,Paper,Investment,"$100,000 and Above",Complex,10
Camrose CA,Paper,Self-employment,"Between $25,000 and $49,999",Complex,10
Camrose CA,Paper,Self-employment,"Between $50,000 and $99,999",Complex,10
Camrose CA,Netfile,Investment,"Less than $25,000",Complex,10
Camrose CA,Netfile,Investment,"Between $25,000 and $49,999",Complex,10
Camrose CA,Netfile,Investment,"Between $50,000 and $99,999",Complex,10
Camrose CA,Netfile,Investment,"$100,000 and Above",Complex,10
Camrose CA,Netfile,Other,"Between $25,000 and $49,999",Complex,10
Camrose CA,Netfile,Other,"Between $50,000 and $99,999",Complex,10
Camrose CA,Netfile,Self-employment,"Between $50,000 and $99,999",Complex,10
Camrose CA,Efile,Investment,"Less than $25,000",Simple,10
Camrose CA,Paper,No income,"Less than $25,000",Complex,0
Camrose CA,Paper,Investment,"Less than $25,000",Complex,0
Camrose CA,Paper,Investment,"Less than $25,000",Simple,0
Camrose CA,Paper,Investment,"Between $25,000 and $49,999",Complex,0
Camrose CA,Paper,Investment,"Between $25,000 and $49,999",Simple,0
Camrose CA,Paper,Other,"Between $25,000 and $49,999",Complex,0
Camrose CA,Paper,Other,"Between $50,000 and $99,999",Complex,0
Camrose CA,Paper,Other,"Between $50,000 and $99,999",Simple,0
Camrose CA,Paper,Other,"$100,000 and Above",Complex,0
Camrose CA,Paper,Other,"$100,000 and Above",Simple,0
Camrose CA,Paper,Pension,"$100,000 and Above",Complex,0
Camrose CA,Paper,Self-employment,"Between $50,000 and $99,999",Simple,0
Camrose CA,Paper,Self-employment,"$100,000 and Above",Complex,0
Camrose CA,Netfile,Investment,"Less than $25,000",Simple,0
Camrose CA,Netfile,Investment,"Between $25,000 and $49,999",Simple,0
Camrose CA,Netfile,Multiple sources of income,"Between $25,000 and $49,999",Complex,0
Camrose CA,Netfile,Other,"Between $50,000 and $99,999",Simple,0
Camrose CA,Netfile,Other,"$100,000 and Above",Complex,0
Camrose CA,Netfile,Other,"$100,000 and Above",Simple,0
Camrose CA,Netfile,Pension,"$100,000 and Above",Complex,0
Camrose CA,Netfile,Pension,"$100,000 and Above",Simple,0
Camrose CA,Netfile,Self-employment,"$100,000 and Above",Complex,0
Camrose CA,Efile,No income,"Less than $25,000",Complex,0
Camrose CA,Efile,Investment,"Between $25,000 and $49,999",Simple,0
Camrose CA,Efile,Investment,"Between $50,000 and $99,999",Simple,0
Camrose CA,Efile,Other,"$100,000 and Above",Simple,0
Camrose CA,Efile,Pension,"$100,000 and Above",Simple,0
Canmore CA,Netfile,Employment,"Between $25,000 and $49,999",Simple,690
Canmore CA,Netfile,Employment,"Between $50,000 and $99,999",Simple,670
Canmore CA,Efile,Employment,"Between $25,000 and $49,999",Simple,660
Canmore CA,Efile,Employment,"Between $50,000 and $99,999",Simple,640
Canmore CA,Efile,Employment,"Less than $25,000",Simple,580
Canmore CA,Netfile,Employment,"Less than $25,000",Simple,510
Canmore CA,Efile,Employment,"Between $50,000 and $99,999",Complex,440
Canmore CA,Efile,Investment,"$100,000 and Above",Complex,410
Canmore CA,Efile,Employment,"$100,000 and Above",Complex,400
Canmore CA,Efile,Investment,"Between $50,000 and $99,999",Complex,310
Canmore CA,Netfile,Employment,"Between $50,000 and $99,999",Complex,250
Canmore CA,Efile,Employment,"Between $25,000 and $49,999",Complex,250
Canmore CA,Paper,Employment,"Less than $25,000",Simple,240
Canmore CA,Netfile,Employment,"$100,000 and Above",Simple,220
Canmore CA,Efile,Employment,"$100,000 and Above",Simple,210
Canmore CA,Efile,Pension,"Between $50,000 and $99,999",Complex,200
Canmore CA,Paper,Employment,"Between $25,000 and $49,999",Simple,190
Canmore CA,Efile,Pension,"Between $25,000 and $49,999",Complex,180
Canmore CA,Netfile,Employment,"$100,000 and Above",Complex,170
Canmore CA,Efile,Investment,"Between $25,000 and $49,999",Complex,140
Canmore CA,Efile,Other,"Less than $25,000",Simple,140
Canmore CA,Efile,Pension,"Between $25,000 and $49,999",Simple,140
Canmore CA,Efile,Self-employment,"Between $25,000 and $49,999",Complex,130
Canmore CA,Paper,Employment,"Between $50,000 and $99,999",Simple,120
Canmore CA,Netfile,Employment,"Between $25,000 and $49,999",Complex,120
Canmore CA,Efile,Pension,"Less than $25,000",Simple,120
Canmore CA,Efile,Self-employment,"Less than $25,000",Complex,120
Canmore CA,Efile,Employment,"Less than $25,000",Complex,110
Canmore CA,Netfile,Other,"Less than $25,000",Simple,100
Canmore CA,Netfile,Pension,"Between $50,000 and $99,999",Complex,80
Canmore CA,Efile,Investment,"Less than $25,000",Complex,80
Canmore CA,Efile,Self-employment,"Between $50,000 and $99,999",Complex,80
Canmore CA,Netfile,Investment,"Between $50,000 and $99,999",Complex,70
Canmore CA,Netfile,Pension,"Between $25,000 and $49,999",Complex,70
Canmore CA,Netfile,Self-employment,"Less than $25,000",Complex,70
Canmore CA,Efile,Pension,"Less than $25,000",Complex,70
